LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
6904,61442980,0,1.67,-1.13,16.35,-0.001085718,-8.693836e-05,-0.5573119,-0.3299769,1.458277,0.08061272999999999,-0.453763,-0.01,0,-0.11,90.33
6945,61452904,0,1.67,-1.13,16.35,-0.001083423,-0.0001023128,-0.556647,-0.3283059,1.458277,0.08061272999999999,-0.4567717,-0.01,0,-0.11,90.33
6986,61463239,0,1.66,-1.13,16.35,-0.001145174,-9.165084e-05,-0.5560862,-0.325463,1.458277,0.08061272999999999,-0.46044,-0.01,0,-0.11,90.33
7026,61473510,0,1.66,-1.13,16.35,-0.001010609,8.805333e-05,-0.5559451,-0.3227153,1.458277,0.08061272999999999,-0.4659944,-0.01,0,-0.11,90.33
7070,61487139,0,1.66,-1.14,16.35,-0.0012898,0.000112955,-0.5542702,-0.3180908,1.458277,0.08061272999999999,-0.4666676,-0.01,0,-0.11,90.33
7111,61497894,0,1.66,-1.14,16.34,-0.001219092,0.0002716695,-0.5542506,-0.3095977,1.458277,0.08061272999999999,-0.4722041,-0.01,0,-0.11,90.33
7153,61507879,0,1.66,-1.14,16.34,-0.001194594,0.0002697317,-0.5536197,-0.3029003,1.458277,0.08061272999999999,-0.4744106,-0.01,0,-0.11,90.33
7194,61518291,0,1.66,-1.14,16.34,-0.001227041,0.0003281881,-0.5529733999999999,-0.2973374,1.458277,0.08061272999999999,-0.4772999,-0.01,0,-0.11,90.33
7234,61529036,0,1.66,-1.14,16.34,-0.001358621,0.0002979595,-0.5524464,-0.294693,1.458277,0.08061272999999999,-0.4797634,-0.01,0,-0.11,90.33
7279,61539032,0,1.66,-1.14,16.34,-0.001616243,0.0003133782,-0.5517717,-0.292987,1.458277,0.08061272999999999,-0.4828994,-0.01,0,-0.11,90.33
7319,61550039,0,1.66,-1.14,16.34,-0.00159946,0.00035104,-0.5510833000000001,-0.2903417,1.458277,0.08061272999999999,-0.4861563,-0.01,0,-0.11,90.33
7360,61560009,0,1.66,-1.14,16.34,-0.001760037,0.0004682192,-0.5509825,-0.2875012,1.458277,0.08061272999999999,-0.4916604,-0.01,0,-0.11,90.33
7401,61570014,0,1.66,-1.14,16.34,-0.001796035,0.0004710369,-0.5506305,-0.2866124,1.458277,0.08061272999999999,-0.4944754,-0.01,0,-0.11,90.33
7443,61582903,0,1.66,-1.14,16.34,-0.001866946,0.0004659117,-0.5496963,-0.2847826,1.458277,0.08061272999999999,-0.4978645,-0.01,0,-0.11,90.33
7483,61592924,0,1.66,-1.14,16.34,-0.001921971,0.0004536224,-0.5489491,-0.2821174,1.458277,0.08061272999999999,-0.4997532,-0.01,0,-0.11,90.33
7524,61602962,0,1.66,-1.14,16.34,-0.001823362,0.0004316513,-0.5483732,-0.2788993,1.458277,0.08061272999999999,-0.5017897,-0.01,0,-0.11,90.33
7565,61613078,0,1.66,-1.14,16.34,-0.001708759,0.0004322511,-0.5476238,-0.2774115,1.458277,0.08061272999999999,-0.5039626,-0.01,0,-0.11,90.33
7607,61623572,0,1.66,-1.14,16.33,-0.001596064,0.000605076,-0.5473071,-0.2727393,1.458277,0.08061272999999999,-0.5094312,-0.01,0,-0.11,90.33
7648,61633539,0,1.66,-1.14,16.33,-0.001485354,0.0006143886,-0.5467689999999999,-0.2707293,1.458277,0.08061272999999999,-0.5117254,-0.01,0,-0.11,90.33
7695,61643562,0,1.66,-1.14,16.34,-0.001317192,0.0005510894,-0.5459613,-0.2733498,1.436013,0.08867401,-0.5141355,-0.01,0,-0.11,90.33
7735,61654150,0,1.66,-1.14,16.34,-0.001330064,0.0004657554,-0.5453234,-0.2768177,1.436013,0.08867401,-0.5172128,-0.01,0,-0.11,90.33
7776,61665024,0,1.66,-1.14,16.34,-0.001215407,0.0005115257,-0.5450064,-0.2775856,1.436013,0.08867401,-0.5226585,-0.01,0,-0.11,90.33
7816,61675021,0,1.66,-1.14,16.33,-0.001211632,0.0005608061,-0.5442706,-0.2801443,1.436013,0.08867401,-0.5252978,-0.01,0,-0.11,90.33
7857,61685067,0,1.66,-1.14,16.34,-0.001267752,0.0005755622,-0.5435416,-0.2830896,1.436013,0.08867401,-0.528051,-0.01,0,-0.11,90.33
7892,61695674,0,1.66,-1.14,16.33,-0.001159253,0.0005460076,-0.5423732,-0.2812454,1.436013,0.08867401,-0.5295455999999999,-0.01,0,-0.11,90.33
