LineNo,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
3036,1.1942e+08,0,-0.005582,-0.00053765,-0.0025814,0.021968,0.10429,-9.7552,0,0,44.84,1,1,8008,4004
3040,1.1943e+08,0,-0.0051699,-0.00032391,-0.0021015,0.021752,0.10613,-9.757,0,0,44.84,1,1,8008,4004
3043,1.1943e+08,0,-0.0043137,-0.00076381,-0.0019149,0.023618,0.10447,-9.7549,0,0,44.84,1,1,8008,4004
3080,1.1943e+08,0,-0.0042604,-0.0022171,-0.0015548,0.025608,0.10307,-9.7539,0,0,44.84,1,1,8008,4004
3083,1.1943e+08,0,-0.0060302,-0.0030242,-0.00092773,0.027107,0.10375,-9.7567,0,0,44.84,1,1,8008,4004
3087,1.1944e+08,0,-0.0067682,-0.002532,-0.00031469,0.028215,0.10622,-9.7586,0,0,44.84,1,1,8008,4004
3090,1.1944e+08,0,-0.004987,-0.0011747,0.00030896,0.030203,0.1106,-9.7564,0,0,44.84,1,1,8008,4004
3125,1.1944e+08,0,-0.0037244,-0.0011521,0.00043468,0.030957,0.11141,-9.7532,0,0,44.839,1,1,8008,4004
3128,1.1944e+08,0,-0.00467,-0.0010745,0.00066272,0.030115,0.11181,-9.7532,0,0,44.839,1,1,8008,4004
3132,1.1945e+08,0,-0.0052184,-0.0010736,0.00026031,0.029253,0.11369,-9.7542,0,0,44.839,1,1,8008,4004
3135,1.1945e+08,0,-0.0039931,-0.00076249,-0.00052776,0.028332,0.11565,-9.7581,0,0,44.839,1,1,8008,4004
3170,1.1945e+08,0,-0.0015186,-0.00041233,-0.00056582,0.029036,0.11628,-9.7605,0,0,44.839,1,1,8008,4004
3173,1.1945e+08,0,-0.00081812,-0.00034956,-0.00027532,0.033058,0.11643,-9.7609,0,0,44.839,1,1,8008,4004
3176,1.1946e+08,0,-0.0015203,0.00020561,-0.00046107,0.034816,0.11653,-9.7625,0,0,44.839,1,1,8008,4004
3182,1.1946e+08,0,-0.0017467,0.00076914,-0.0010158,0.035657,0.11599,-9.7681,0,0,44.839,1,1,8008,4004
3217,1.1946e+08,0,-0.0012611,0.00053985,-0.0013179,0.036902,0.11462,-9.7714,0,0,44.839,1,1,8008,4004
3221,1.1946e+08,0,-0.0015859,-8.1152e-05,-0.0014718,0.037033,0.11368,-9.7745,0,0,44.839,1,1,8008,4004
3225,1.1947e+08,0,-0.0017578,-7.5311e-05,-0.0010577,0.036798,0.11282,-9.7768,0,0,44.839,1,1,8008,4004
3228,1.1947e+08,0,-0.0021516,0.00050278,-0.00043595,0.03566,0.10936,-9.7757,0,0,44.839,1,1,8008,4004
3263,1.1947e+08,0,-0.0023801,0.00073337,-0.0001418,0.033843,0.10622,-9.773,0,0,44.839,1,1,8008,4004
3267,1.1947e+08,0,-0.0011825,0.00078524,0.00052277,0.029737,0.10589,-9.7693,0,0,44.838,1,1,8008,4004
3270,1.1948e+08,0,0.00045471,0.00042546,0.0005682,0.025454,0.10772,-9.7671,0,0,44.838,1,1,8008,4004
3273,1.1948e+08,0,0.00098611,-0.00082297,-0.00053927,0.019349,0.10934,-9.7633,0,0,44.838,1,1,8008,4004
3308,1.1948e+08,0,0.00033897,-0.00067852,-0.0006389,0.017657,0.11078,-9.7604,0,0,44.838,1,1,8008,4004
3311,1.1948e+08,0,-0.00045576,-0.0003429,-0.00051829,0.018859,0.11213,-9.7581,0,0,44.838,1,1,8008,4004
3315,1.1949e+08,0,-0.00011338,-0.00034572,-0.00056285,0.023283,0.11214,-9.7553,0,0,44.838,1,1,8008,4004
3318,1.1949e+08,0,0.00037184,-7.274e-05,-0.00083512,0.027382,0.11193,-9.753,0,0,44.838,1,1,8008,4004
3353,1.1949e+08,0,0.0012262,-4.008e-05,-0.00018354,0.032353,0.11344,-9.7499,0,0,44.838,1,1,8008,4004
3356,1.1949e+08,0,0.0021232,-0.0005685,0.00035949,0.035296,0.11318,-9.7472,0,0,44.838,1,1,8008,4004
