LineNo,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
1.6994e+05,5.593e+07,43.601,13.482,89.2,4.252,4.252
1.6999e+05,5.594e+07,43.601,13.482,89.2,4.2546,4.2546
1.7004e+05,5.595e+07,43.601,13.482,89.19,4.257,4.257
1.7008e+05,5.596e+07,43.601,13.482,89.19,4.2567,4.2567
1.7012e+05,5.5971e+07,43.601,13.482,89.19,4.2589,4.2589
1.7017e+05,5.5981e+07,43.601,13.482,89.19,4.2609,4.2609
1.7022e+05,5.5992e+07,43.601,13.482,89.19,4.2627,4.2627
1.7026e+05,5.6002e+07,43.601,13.482,89.19,4.2644,4.2644
1.703e+05,5.6012e+07,43.601,13.482,89.19,4.2659,4.2659
1.7035e+05,5.6023e+07,43.601,13.482,89.19,4.2654,4.2654
1.7039e+05,5.6034e+07,43.601,13.482,89.19,4.2667,4.2667
1.7044e+05,5.6044e+07,43.601,13.482,89.19,4.2683,4.2683
1.7048e+05,5.6055e+07,43.601,13.482,89.19,4.2698,4.2698
1.7052e+05,5.6066e+07,43.601,13.482,89.19,4.2711,4.2711
1.7057e+05,5.6076e+07,43.601,13.482,89.19,4.2724,4.2724
1.7061e+05,5.6086e+07,43.601,13.482,89.19,4.2716,4.2716
1.7066e+05,5.6097e+07,43.601,13.482,89.19,4.2728,4.2728
1.707e+05,5.6106e+07,43.601,13.482,89.19,4.2739,4.2739
1.7075e+05,5.6117e+07,43.601,13.482,89.19,4.2749,4.2749
1.7079e+05,5.6126e+07,43.601,13.482,89.19,4.2742,4.2742
1.7084e+05,5.6137e+07,43.601,13.482,89.21,4.2751,4.2751
1.7088e+05,5.6149e+07,43.601,13.482,89.21,4.2758,4.2758
1.7092e+05,5.6159e+07,43.601,13.482,89.21,4.276,4.276
1.7096e+05,5.617e+07,43.601,13.482,89.21,4.2761,4.2761
1.7101e+05,5.618e+07,43.601,13.482,89.21,4.2753,4.2753
1.7106e+05,5.619e+07,43.601,13.482,89.21,4.2754,4.2754
1.7111e+05,5.62e+07,43.601,13.482,89.21,4.2754,4.2754
1.7115e+05,5.621e+07,43.601,13.482,89.21,4.2754,4.2754
1.712e+05,5.622e+07,43.601,13.482,89.21,4.2747,4.2747
1.7124e+05,5.6231e+07,43.601,13.482,89.21,4.2747,4.2747
1.7128e+05,5.6243e+07,43.601,13.482,89.21,4.2744,4.2744
1.7132e+05,5.6254e+07,43.601,13.482,89.21,4.2743,4.2743
1.7137e+05,5.6264e+07,43.601,13.482,89.21,4.2742,4.2742
