LineNo,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip
18669,1.968e+07,0,1.6505,0.975,1.1756,0
18709,1.969e+07,0,1.6309,0.91757,1.1125,0
18750,1.97e+07,0,1.6128,0.86679,1.0836,0
18793,1.971e+07,0,1.5764,0.82748,1.0198,0
18837,1.972e+07,0,1.5488,0.79918,0.98846,0
18879,1.973e+07,0,1.513,0.77813,0.93279,0
18920,1.974e+07,0,1.481,0.7763,0.89594,0
18960,1.975e+07,0,1.4366,0.78437,0.85604,0
19002,1.976e+07,0,1.3967,0.79412,0.83256,0
19040,1.977e+07,0,1.345,0.80607,0.80956,0
19080,1.9781e+07,0,1.2835,0.82858,0.77295,0
19121,1.9791e+07,0,1.2177,0.84979,0.75254,0
19161,1.98e+07,0,1.1624,0.87153,0.71795,0
19204,1.9811e+07,0,1.0929,0.90034,0.71425,0
19250,1.9821e+07,0,1.031,0.91051,0.69628,0
19291,1.983e+07,0,0.97671,0.95132,0.69472,0
19332,1.9841e+07,0,0.9167,0.9867,0.68069,0
19372,1.985e+07,0,0.86888,1.0215,0.66193,0
19414,1.9863e+07,0,0.80588,1.1003,0.65478,0
19454,1.9873e+07,0,0.76932,1.2313,0.62522,0
19495,1.9883e+07,0,0.731,1.3193,0.63623,0
19536,1.9893e+07,0,0.70323,1.3718,0.60089,0
19577,1.9903e+07,0,0.68588,1.442,0.6095,0
19625,1.9915e+07,0,0.6746,1.5809,0.59621,0
19666,1.9925e+07,0,0.65091,1.6424,0.62651,0
19709,1.9935e+07,0,0.61455,1.6754,0.63221,0
19750,1.9945e+07,0,0.5888,1.7639,0.64611,0
19788,1.9955e+07,0,0.55988,1.8883,0.70853,0
19826,1.9965e+07,0,0.53156,1.986,0.71519,0
19867,1.9976e+07,0,0.52544,2.0515,0.78986,0
19910,1.9985e+07,0,0.52443,2.1079,0.77445,0
19950,1.9996e+07,0,0.52056,2.1395,0.90629,0
19992,2.0005e+07,0,0.50031,2.1609,0.88141,0
20036,2.0015e+07,0,0.51732,2.1598,1.0135,0
20078,2.0026e+07,0,0.49495,2.1347,0.98146,0
20119,2.0035e+07,0,0.53516,2.1208,1.0927,0
20159,2.0046e+07,0,0.58411,2.0888,1.066,0
20200,2.0055e+07,0,0.68013,2.0701,1.198,0
20235,2.0065e+07,0,0.707,2.0381,1.1877,0
20276,2.0075e+07,0,0.7213,2.0404,1.2468,0
