LineNo,TimeUS,C,MI,BI,GI,AI,SS
20514,2.0134e+07,0,0,0,0,0,0
20554,2.0144e+07,0,0,0,0,0,0
20598,2.0156e+07,0,0,0,0,0,0
20635,2.0166e+07,0,0,0,0,0,0
20675,2.0176e+07,0,0,0,0,0,0
20715,2.0186e+07,0,0,0,0,0,0
20756,2.0196e+07,0,0,0,0,0,0
20797,2.0206e+07,0,0,0,0,0,0
20841,2.0216e+07,0,0,0,0,0,0
20883,2.0226e+07,0,0,0,0,0,0
20924,2.0236e+07,0,0,0,0,0,0
20965,2.0246e+07,0,0,0,0,0,0
21006,2.0259e+07,0,0,0,0,0,0
21044,2.0269e+07,0,0,0,0,0,0
21085,2.0279e+07,0,0,0,0,0,0
21125,2.0288e+07,0,0,0,0,0,0
21167,2.0299e+07,0,0,0,0,0,0
21207,2.0308e+07,0,0,0,0,0,0
21254,2.0319e+07,0,0,0,0,0,0
21295,2.0329e+07,0,0,0,0,0,0
21337,2.0338e+07,0,0,0,0,0,0
21380,2.0349e+07,0,0,0,0,0,0
21417,2.0358e+07,0,0,0,0,0,0
21454,2.0368e+07,0,0,0,0,0,0
21495,2.0378e+07,0,0,0,0,0,0
21535,2.0388e+07,0,0,0,0,0,0
21576,2.0398e+07,0,0,0,0,0,0
21617,2.0409e+07,0,0,0,0,0,0
21662,2.0419e+07,0,0,0,0,0,0
21703,2.0429e+07,0,0,0,0,0,0
21743,2.0439e+07,0,0,0,0,0,0
21786,2.0449e+07,0,0,0,0,0,0
21823,2.0462e+07,0,0,0,0,0,0
21863,2.0471e+07,0,0,0,0,0,0
21904,2.0482e+07,0,0,0,0,0,0
21946,2.0492e+07,0,0,0,0,0,0
21988,2.0502e+07,0,0,0,0,0,0
22028,2.0512e+07,0,0,0,0,0,0
22074,2.0522e+07,0,0,0,0,0,0
22116,2.0532e+07,0,0,0,0,0,0
22157,2.0542e+07,0,0,0,0,0,0
22198,2.0552e+07,0,0,0,0,0,0
22240,2.0564e+07,0,0,0,0,0,0
22278,2.0574e+07,0,0,0,0,0,0
22318,2.0584e+07,0,0,0,0,0,0
22359,2.0595e+07,0,0,0,0,0,0
22399,2.0605e+07,0,0,0,0,0,0
22445,2.0615e+07,0,0,0,0,0,0
22487,2.0625e+07,0,0,0,0,0,0
22527,2.0635e+07,0,0,0,0,0,0
22568,2.0645e+07,0,0,0,0,0,0
22610,2.0655e+07,0,0,0,0,0,0
22651,2.0665e+07,0,0,0,0,0,0
22688,2.0675e+07,0,0,0,0,0,0
22726,2.0685e+07,0,0,0,0,0,0
22768,2.0695e+07,0,0,0,0,0,0
22808,2.0705e+07,0,0,0,0,0,0
22853,2.0715e+07,0,0,0,0,0,0
22894,2.0725e+07,0,0,0,0,0,0
22938,2.0735e+07,0,0,0,0,0,0
22978,2.0745e+07,0,0,0,0,0,0
23020,2.0757e+07,0,0,0,0,0,0
23061,2.0768e+07,0,0,0,0,0,0
23098,2.0778e+07,0,0,0,0,0,0
23139,2.0788e+07,0,0,0,0,0,0
23179,2.0798e+07,0,0,0,0,0,0
23221,2.0808e+07,0,0,0,0,0,0
23267,2.0818e+07,0,0,0,0,0,0
23308,2.0828e+07,0,0,0,0,0,0
23349,2.0838e+07,0,0,0,0,0,0
23389,2.0848e+07,0,0,0,0,0,0
23432,2.0858e+07,0,0,0,0,0,0
23472,2.0871e+07,0,0,0,0,0,0
23513,2.088e+07,0,0,0,0,0,0
23554,2.089e+07,0,0,0,0,0,0
23597,2.09e+07,0,0,0,0,0,0
23638,2.091e+07,0,0,0,0,0,0
23682,2.092e+07,0,0,0,0,0,0
23723,2.093e+07,0,0,0,0,0,0
23765,2.094e+07,0,0,0,0,0,0
23807,2.095e+07,0,0,0,0,0,0
23848,2.096e+07,0,0,0,0,0,0
23889,2.097e+07,0,0,0,0,0,0
23930,2.0983e+07,0,0,0,0,0,0
23972,2.0993e+07,0,0,0,0,0,0
24013,2.1003e+07,0,0,0,0,0,0
24055,2.1013e+07,0,0,0,0,0,0
24099,2.1023e+07,0,0,0,0,0,0
24140,2.1033e+07,0,0,0,0,0,0
24181,2.1043e+07,0,0,0,0,0,0
24222,2.1053e+07,0,0,0,0,0,0
24259,2.1063e+07,0,0,0,0,0,0
24304,2.1078e+07,0,0,0,0,0,0
24345,2.1088e+07,0,0,0,0,0,0
24386,2.1098e+07,0,0,0,0,0,0
24428,2.1108e+07,0,0,0,0,0,0
24473,2.1118e+07,0,0,0,0,0,0
24513,2.1128e+07,0,0,0,0,0,0
24557,2.1138e+07,0,0,0,0,0,0
24597,2.1149e+07,0,0,0,0,0,0
24638,2.1159e+07,0,0,0,0,0,0
24675,2.1169e+07,0,0,0,0,0,0
24716,2.1179e+07,0,0,0,0,0,0
24758,2.1189e+07,0,0,0,0,0,0
24798,2.1199e+07,0,0,0,0,0,0
24840,2.1209e+07,0,0,0,0,0,0
24884,2.1219e+07,0,0,0,0,0,0
24925,2.1229e+07,0,0,0,0,0,0
24965,2.1239e+07,0,0,0,0,0,0
25007,2.1249e+07,0,0,0,0,0,0
25048,2.1259e+07,0,0,0,0,0,0
25088,2.1272e+07,0,0,0,0,0,0
25130,2.1282e+07,0,0,0,0,0,0
25171,2.1292e+07,0,0,0,0,0,0
25212,2.1302e+07,0,0,0,0,0,0
25253,2.1312e+07,0,0,0,0,0,0
25297,2.1322e+07,0,0,0,0,0,0
25339,2.1332e+07,0,0,0,0,0,0
25381,2.1342e+07,0,0,0,0,0,0
25422,2.1352e+07,0,0,0,0,0,0
25465,2.1365e+07,0,0,0,0,0,0
25503,2.1375e+07,0,0,0,0,0,0
25544,2.1385e+07,0,0,0,0,0,0
25586,2.1395e+07,0,0,0,0,0,0
25627,2.1405e+07,0,0,0,0,0,0
25667,2.1415e+07,0,0,0,0,0,0
25712,2.1425e+07,0,0,0,0,0,0
25754,2.1435e+07,0,0,0,0,0,0
25794,2.1445e+07,0,0,0,0,0,0
25838,2.1457e+07,0,0,0,0,0,0
25878,2.1467e+07,0,0,0,0,0,0
25916,2.1478e+07,0,0,0,0,0,0
25960,2.1488e+07,0,0,0,0,0,0
26001,2.1498e+07,0,0,0,0,0,0
26042,2.1508e+07,0,0,0,0,0,0
26086,2.1518e+07,0,0,0,0,0,0
26130,2.1528e+07,0,0,0,0,0,0
