LineNo,TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw
13279,1.8329e+07,0.0089171,0.028229,0.011255,0.028964,0.020727
13320,1.834e+07,0.0087794,0.027828,0.011035,0.028632,0.020316
13358,1.8353e+07,0.0085808,0.027206,0.011081,0.028476,0.019814
13398,1.8362e+07,0.0084611,0.026755,0.010905,0.028022,0.019421
13439,1.8373e+07,0.0083285,0.026334,0.011039,0.028134,0.019036
13481,1.8383e+07,0.008168,0.025826,0.010866,0.027734,0.018659
13521,1.8393e+07,0.0080462,0.025435,0.011035,0.028119,0.018289
13563,1.8403e+07,0.007934,0.025041,0.010986,0.028021,0.017926
13607,1.8413e+07,0.0078177,0.024683,0.01104,0.028225,0.017571
13647,1.8423e+07,0.0076721,0.024204,0.011015,0.028165,0.017223
13688,1.8433e+07,0.0075666,0.023794,0.011041,0.028314,0.016881
13729,1.8443e+07,0.0074394,0.023444,0.011109,0.028417,0.016546
13767,1.8453e+07,0.0073376,0.023073,0.011082,0.028415,0.016218
13807,1.8463e+07,0.007194,0.022637,0.011167,0.028472,0.015896
13845,1.8473e+07,0.0070674,0.022207,0.010988,0.028158,0.015581
13886,1.8483e+07,0.0069854,0.021917,0.011253,0.028446,0.015271
13928,1.8493e+07,0.0068555,0.021541,0.01105,0.028301,0.014969
13970,1.8504e+07,0.0067441,0.021151,0.011184,0.028231,0.014672
14015,1.8514e+07,0.0066434,0.020824,0.010978,0.027987,0.014382
14056,1.8523e+07,0.0066474,0.020512,0.011066,0.027838,0.014096
14099,1.8533e+07,0.0065222,0.020205,0.010856,0.027621,0.013818
14139,1.8544e+07,0.0064205,0.019841,0.010876,0.027373,0.013544
14180,1.8556e+07,0.0062967,0.019449,0.010619,0.02694,0.01321
14221,1.8567e+07,0.006234,0.019245,0.010707,0.026919,0.012948
14262,1.8577e+07,0.0061527,0.018995,0.010528,0.026663,0.012693
14302,1.8586e+07,0.0060973,0.01878,0.01065,0.026753,0.012442
14344,1.8597e+07,0.006037,0.018605,0.010481,0.026453,0.012196
14388,1.8607e+07,0.00598,0.018396,0.010688,0.026766,0.011954
14431,1.8617e+07,0.0059743,0.018276,0.010555,0.026596,0.011718
14472,1.8627e+07,0.0059233,0.01802,0.010708,0.026813,0.011487
14512,1.8637e+07,0.0058556,0.017867,0.010593,0.026671,0.011259
14554,1.8647e+07,0.0057507,0.017552,0.010682,0.026792,0.011037
14591,1.8657e+07,0.0056665,0.017289,0.010616,0.02684,0.010819
14633,1.8668e+07,0.0055601,0.016972,0.010633,0.026872,0.010606
14674,1.8678e+07,0.0056342,0.016903,0.010651,0.026887,0.010397
14714,1.8688e+07,0.0055363,0.016698,0.010564,0.026689,0.010193
14755,1.8698e+07,0.0054701,0.016382,0.010549,0.026585,0.009992
14799,1.8708e+07,0.0053658,0.016116,0.010474,0.026361,0.0097958
14841,1.8718e+07,0.0053977,0.015983,0.010474,0.026189,0.0096028
14882,1.8729e+07,0.0053239,0.015947,0.010357,0.025957,0.0094151
14925,1.8739e+07,0.0052505,0.015739,0.010362,0.025693,0.0092298
14967,1.8748e+07,0.0052071,0.015563,0.010272,0.025565,0.0090488
15001,1.8758e+07,0.0051776,0.015543,0.010285,0.02528,0.0088703
15041,1.8768e+07,0.0051674,0.015439,0.010136,0.025091,0.0086967
15081,1.8779e+07,0.0051271,0.015338,0.010125,0.024789,0.008525
15121,1.8789e+07,0.0050755,0.015154,0.0099752,0.024616,0.0083579
15163,1.8799e+07,0.0051617,0.015532,0.0099901,0.024352,0.0081927
15208,1.8809e+07,0.0051064,0.015364,0.009826,0.024172,0.0080332
15251,1.8819e+07,0.0051058,0.01542,0.0098705,0.023937,0.0078749
15292,1.8829e+07,0.0050405,0.015225,0.0097158,0.02375,0.007722
15334,1.8839e+07,0.005258,0.015699,0.0098024,0.023527,0.0075701
15374,1.8849e+07,0.0051926,0.015475,0.00965,0.023444,0.0074248
15409,1.8859e+07,0.0052681,0.01569,0.0097277,0.02319,0.0072797
15450,1.8869e+07,0.0052444,0.015561,0.0095593,0.023003,0.0071401
15490,1.8879e+07,0.0053438,0.015842,0.0095875,0.022665,0.0070003
15531,1.8889e+07,0.005265,0.015628,0.0094265,0.02253,0.0068663
15573,1.89e+07,0.0052119,0.015476,0.0094128,0.02217,0.0067318
15616,1.891e+07,0.0051472,0.015301,0.009269,0.021941,0.0066015
15658,1.892e+07,0.0051402,0.015233,0.0092252,0.021572,0.0064723
15698,1.893e+07,0.0050677,0.014954,0.0091112,0.021359,0.0063481
15742,1.894e+07,0.005057,0.014747,0.0090981,0.021008,0.0062245
15783,1.8953e+07,0.0049616,0.01453,0.0090393,0.02085,0.0060739
15824,1.8963e+07,0.0048939,0.014302,0.0089483,0.020704,0.0059583
15861,1.8973e+07,0.0048453,0.014206,0.0089729,0.020482,0.0058429
15902,1.8983e+07,0.0048169,0.014146,0.0089122,0.020451,0.0057329
15945,1.8993e+07,0.0048798,0.01415,0.0090021,0.020301,0.0056218
15985,1.9003e+07,0.0048479,0.014056,0.008942,0.020556,0.0055186
