LineNo,TimeUS,I,VDop,HAcc,VAcc,SAcc,YAcc,VV,SMS,Delta,Und
1.6824e+05,1.6832e+09,0,0.99,0.73,0.98,0.11,0,1,1.6831e+06,200,-43.043
1.6904e+05,1.6833e+09,0,0.99,0.73,0.98,0.11,0,1,1.6833e+06,200,-43.043
1.6981e+05,1.6835e+09,0,0.99,0.73,0.98,0.11,0,1,1.6835e+06,200,-43.044
1.7058e+05,1.6837e+09,0,0.99,0.73,0.98,0.1,0,1,1.6837e+06,200,-43.043
1.7143e+05,1.684e+09,0,0.99,0.73,0.98,0.11,0,1,1.6839e+06,200,-43.043
1.7224e+05,1.6841e+09,0,0.99,0.73,0.98,0.11,0,1,1.6841e+06,200,-43.043
1.7304e+05,1.6843e+09,0,0.99,0.72,0.98,0.11,0,1,1.6843e+06,200,-43.044
1.7385e+05,1.6845e+09,0,0.99,0.72,0.98,0.1,0,1,1.6845e+06,200,-43.043
1.747e+05,1.6848e+09,0,0.99,0.72,0.98,0.1,0,1,1.6847e+06,200,-43.043
1.7546e+05,1.685e+09,0,0.99,0.72,0.98,0.11,0,1,1.6849e+06,200,-43.044
1.7626e+05,1.6852e+09,0,0.99,0.72,0.97,0.1,0,1,1.6851e+06,200,-43.043
1.7707e+05,1.6853e+09,0,0.99,0.72,0.97,0.1,0,1,1.6853e+06,200,-43.043
1.7796e+05,1.6856e+09,0,0.99,0.72,0.97,0.1,0,1,1.6855e+06,200,-43.044
1.7876e+05,1.6858e+09,0,0.99,0.72,0.97,0.1,0,1,1.6857e+06,200,-43.043
1.7953e+05,1.6859e+09,0,0.99,0.72,0.97,0.1,0,1,1.6859e+06,200,-43.043
1.8038e+05,1.6862e+09,0,0.99,0.71,0.97,0.1,0,1,1.6861e+06,200,-43.043
1.8118e+05,1.6864e+09,0,0.99,0.71,0.97,0.11,0,1,1.6863e+06,200,-43.043
1.8192e+05,1.6866e+09,0,0.99,0.71,0.97,0.12,0,1,1.6865e+06,200,-43.043
1.8272e+05,1.6868e+09,0,0.99,0.71,0.97,0.12,0,1,1.6867e+06,200,-43.043
1.8353e+05,1.6869e+09,0,0.99,0.71,0.97,0.19,0,1,1.6869e+06,200,-43.044
1.8438e+05,1.6872e+09,0,0.99,0.71,0.96,0.17,0,1,1.6871e+06,200,-43.043
1.8518e+05,1.6874e+09,0,0.99,0.71,0.96,0.18,0,1,1.6873e+06,200,-43.043
1.8595e+05,1.6876e+09,0,0.99,0.71,0.96,0.17,0,1,1.6875e+06,200,-43.043
1.8675e+05,1.6877e+09,0,0.99,0.71,0.96,0.19,0,1,1.6877e+06,200,-43.043
1.8761e+05,1.688e+09,0,0.99,0.71,0.96,0.18,0,1,1.6879e+06,200,-43.044
1.8834e+05,1.6882e+09,0,0.99,0.71,0.96,0.16,0,1,1.6881e+06,200,-43.043
1.8914e+05,1.6883e+09,0,0.99,0.71,0.96,0.17,0,1,1.6883e+06,200,-43.043
1.8996e+05,1.6886e+09,0,0.99,0.7,0.96,0.16,0,1,1.6885e+06,200,-43.043
1.9077e+05,1.6888e+09,0,0.99,0.7,0.96,0.16,0,1,1.6887e+06,200,-43.043
1.9157e+05,1.6889e+09,0,0.99,0.7,0.96,0.11,0,1,1.6889e+06,200,-43.043
1.9242e+05,1.6892e+09,0,0.99,0.7,0.96,0.11,0,1,1.6891e+06,200,-43.043
1.9322e+05,1.6894e+09,0,0.99,0.7,0.96,0.1,0,1,1.6893e+06,200,-43.043
1.939e+05,1.6895e+09,0,0.99,0.7,0.96,0.11,0,1,1.6895e+06,200,-43.043
1.9479e+05,1.6898e+09,0,0.99,0.7,0.96,0.13,0,1,1.6897e+06,200,-43.043
1.9556e+05,1.6899e+09,0,0.99,0.7,0.95,0.17,0,1,1.6899e+06,200,-43.043
1.9645e+05,1.6902e+09,0,0.99,0.7,0.95,0.14,0,1,1.6901e+06,200,-43.043
1.9722e+05,1.6904e+09,0,0.99,0.7,0.95,0.12,0,1,1.6903e+06,200,-43.043
1.9799e+05,1.6906e+09,0,0.99,0.7,0.95,0.12,0,1,1.6905e+06,200,-43.043
1.9879e+05,1.6908e+09,0,0.99,0.7,0.95,0.12,0,1,1.6907e+06,200,-43.043
1.9956e+05,1.6909e+09,0,0.99,0.7,0.95,0.12,0,1,1.6909e+06,200,-43.044
2.0041e+05,1.6912e+09,0,0.99,0.69,0.95,0.12,0,1,1.6911e+06,200,-43.043
2.0122e+05,1.6914e+09,0,0.99,0.69,0.95,0.13,0,1,1.6913e+06,200,-43.043
2.0202e+05,1.6916e+09,0,0.99,0.69,0.95,0.12,0,1,1.6915e+06,200,-43.043
2.0282e+05,1.6917e+09,0,0.99,0.69,0.95,0.12,0,1,1.6917e+06,200,-43.043
2.0355e+05,1.6919e+09,0,0.99,0.69,0.95,0.12,0,1,1.6919e+06,200,-43.043
2.0444e+05,1.6922e+09,0,0.99,0.69,0.95,0.12,0,1,1.6921e+06,200,-43.043
