LineNo,TimeUS,C,MI,BI,GI,AI,SS
26514,1.6482e+09,0,0,0,0,0,0
26559,1.6482e+09,0,0,0,0,0,0
26605,1.6483e+09,0,0,0,0,0,0
26650,1.6483e+09,0,0,0,0,0,0
26694,1.6483e+09,0,0,0,0,0,0
26741,1.6483e+09,0,0,0,0,0,0
26789,1.6483e+09,0,0,0,0,0,0
26835,1.6483e+09,0,0,0,0,0,0
26880,1.6483e+09,0,0,0,0,0,0
26924,1.6483e+09,0,0,0,0,0,0
26969,1.6483e+09,0,0,0,0,0,0
27013,1.6483e+09,0,0,0,0,0,0
27060,1.6484e+09,0,0,0,0,0,0
27102,1.6484e+09,0,0,0,0,0,0
27144,1.6484e+09,0,0,0,0,0,0
27187,1.6484e+09,0,0,0,0,0,0
27234,1.6484e+09,0,0,0,0,0,0
27277,1.6484e+09,0,0,0,0,0,0
27320,1.6484e+09,0,0,0,0,0,0
27366,1.6484e+09,0,0,0,0,0,0
27409,1.6484e+09,0,0,0,0,0,0
27451,1.6485e+09,0,0,0,0,0,0
27494,1.6485e+09,0,0,0,0,0,0
27537,1.6485e+09,0,0,0,0,0,0
27579,1.6485e+09,0,0,0,0,0,0
27626,1.6485e+09,0,0,0,0,0,0
27670,1.6485e+09,0,0,0,0,0,0
27713,1.6485e+09,0,0,0,0,0,0
27759,1.6485e+09,0,0,0,0,0,0
27807,1.6485e+09,0,0,0,0,0,0
27843,1.6486e+09,0,0,0,0,0,0
27887,1.6486e+09,0,0,0,0,0,0
27931,1.6486e+09,0,0,0,0,0,0
27975,1.6486e+09,0,0,0,0,0,0
28019,1.6486e+09,0,0,0,0,0,0
28069,1.6486e+09,0,0,0,0,0,0
28113,1.6486e+09,0,0,0,0,0,0
28159,1.6486e+09,0,0,0,0,0,0
28204,1.6486e+09,0,0,0,0,0,0
28248,1.6487e+09,0,0,0,0,0,0
28293,1.6487e+09,0,0,0,0,0,0
28337,1.6487e+09,0,0,0,0,0,0
