LineNo,TimeUS,C15,C16,C17,C18
30582,2.7126e+07,0,0,0,0
30623,2.7136e+07,0,0,0,0
30664,2.7147e+07,0,0,0,0
30704,2.7157e+07,0,0,0,0
30745,2.7168e+07,0,0,0,0
30789,2.7178e+07,0,0,0,0
30830,2.7188e+07,0,0,0,0
30873,2.7198e+07,0,0,0,0
30916,2.7211e+07,0,0,0,0
30957,2.7222e+07,0,0,0,0
30994,2.7232e+07,0,0,0,0
31039,2.7242e+07,0,0,0,0
31080,2.7252e+07,0,0,0,0
31121,2.7262e+07,0,0,0,0
31161,2.7271e+07,0,0,0,0
31206,2.7281e+07,0,0,0,0
31247,2.7292e+07,0,0,0,0
31287,2.7302e+07,0,0,0,0
31329,2.7312e+07,0,0,0,0
31369,2.7322e+07,0,0,0,0
31404,2.7332e+07,0,0,0,0
31446,2.7342e+07,0,0,0,0
31486,2.7353e+07,0,0,0,0
31527,2.7363e+07,0,0,0,0
31567,2.7373e+07,0,0,0,0
31612,2.7383e+07,0,0,0,0
