LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
7588,21455102,0,1.39,0.38,17.66,-0.001513027,0.001296931,-0.363074,0.1165477,0,0,-0.6492012,0,0,-0.19,0
7629,21467687,0,1.38,0.38,17.65,-0.001854553,0.001195161,-0.3607296,0.1199267,0,0,-0.647509,0,0,-0.19,0
7668,21477816,0,1.38,0.38,17.65,-0.002321177,0.0009850715999999999,-0.3584351,0.120914,0,0,-0.6456788,0,0,-0.19,0
7711,21487791,0,1.39,0.39,17.64,-0.002390224,0.0006911809,-0.3582494,0.1257155,0,0,-0.649258,0,0,-0.19,0
7752,21497816,0,1.39,0.39,17.64,-0.002534981,0.0004157015,-0.35572,0.129625,0,0,-0.64728,0,0,-0.19,0
7793,21507813,0,1.39,0.39,17.64,-0.002709342,0.0001649854,-0.353598,0.1290893,0,0,-0.6455101,0,0,-0.19,0
7833,21518066,0,1.39,0.39,17.63,-0.002676693,-3.851956e-05,-0.3515495,0.1197529,0,0,-0.6439252,0,0,-0.18,0
7878,21528431,0,1.4,0.39,17.63,-0.002842146,-0.000453313,-0.3509755,0.1161088,0,0,-0.6474332,0,0,-0.18,0
7918,21538413,0,1.4,0.39,17.63,-0.003139113,-0.0007359216,-0.348874,0.1098526,0,0,-0.6460238,0,0,-0.18,0
7960,21548910,0,1.4,0.38,17.63,-0.003309915,-0.001290332,-0.3468231,0.103259,0,0,-0.6448140999999999,0,0,-0.18,0
8000,21558793,0,1.4,0.38,17.62,-0.003556829,-0.001634707,-0.3446924,0.0976889,0,0,-0.6441473,0,0,-0.18,0
8041,21569025,0,1.4,0.38,17.62,-0.003720898,-0.001717063,-0.3418024,0.09436446,0,0,-0.6410441,0,0,-0.18,0
8082,21578918,0,1.4,0.38,17.62,-0.003675999,-0.001837843,-0.3414186,0.09080207999999999,0,0,-0.6447983,0,0,-0.18,0
8116,21589201,0,1.4,0.38,17.62,-0.003634808,-0.001932408,-0.3390001,0.09171509999999999,0,0,-0.641888,0,0,-0.18,0
8158,21599304,0,1.4,0.39,17.61,-0.003856927,-0.001593568,-0.3367122,0.09773421,0,0,-0.6392441,0,0,-0.18,0
8199,21609122,0,1.39,0.39,17.61,-0.003725123,-0.00148342,-0.3341986,0.09951514,0,0,-0.6368138,0,0,-0.18,0
8239,21619681,0,1.39,0.39,17.6,-0.003645004,-0.001374917,-0.3321361,0.09873518000000001,0,0,-0.6346082,0,0,-0.18,0
8286,21629760,0,1.39,0.4,17.6,-0.003526913,-0.0005883456,-0.3296791,0.1036984,0,0,-0.6329659,0,0,-0.18,0
8327,21639729,0,1.39,0.4,17.6,-0.003050177,6.485701000000001e-05,-0.3291889,0.1102558,0,0,-0.6362564000000001,0,0,-0.18,0
8368,21649753,0,1.39,0.4,17.6,-0.002585501,0.0006014659,-0.3268905,0.1146909,0,0,-0.6344717,0,0,-0.18,0
8408,21659885,0,1.39,0.4,17.6,-0.002093664,0.001257863,-0.324508,0.1147993,0,0,-0.6328823,0,0,-0.18,0
8447,21670680,0,1.39,0.4,17.6,-0.001642216,0.001954776,-0.3214593,0.1127455,0,0,-0.6294264000000001,0,0,-0.18,0
8485,21681212,0,1.4,0.4,17.6,-0.001144276,0.002265848,-0.3186028,0.1145796,0,0,-0.6265332,0,0,-0.18,0
8526,21691881,0,1.4,0.39,17.61,-0.0004177022,0.002340441,-0.3181758,0.1238825,0,0,-0.6297133,0,0,-0.18,0
8566,21701849,0,1.4,0.39,17.61,0.000158704,0.002620073,-0.3155989,0.1314414,0,0,-0.6267231,0,0,-0.18,0
